week,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,oem_chinese_oem_k,oem_us_oem_k,oem_german_oem_k,oem_korean_oem_k,oem_japanese_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_cells_wk,stock_harness_wk,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
60,10.189546795311205,173.58735896636995,154.22021690081044,30805.986622751305,0.8353164424062052,104.15241537982196,22.566356665628096,20.83048307596439,13.886988717309595,12.151115127645898,16.0,23.421670474293233,2.609976691097536,7.998886538053705,11.997248378241778,2.5790102184400574,8.0,173.58735896636995,269.20310488049864,269.2000467567078,269.2307692307692,china_graphite
61,10.314427115779687,173.5872262411577,162.83437778174527,33034.97767859547,0.831559963097203,104.15233574469462,22.5663394113505,20.830467148938926,13.886978099292618,12.15110583688104,16.0,23.76930011965075,2.66527775904316,7.9988863821711,11.99723727707472,2.586907557809047,8.0,173.5872262411577,269.2029884341718,269.2000419635974,269.2307692307692,china_graphite
62,10.532972682372488,174.1187779294551,172.2422895760607,35397.68225172318,0.8252002447664508,104.47126675767305,22.63544113082916,20.894253351534612,13.929502234356407,12.188314455061857,16.0,24.0,2.738355577994932,7.998886242268288,11.99722659224901,2.6066545798149594,8.0,174.1187779294551,269.20287635508134,269.2000376618371,269.2307692307692,china_graphite
63,10.821770601499201,175.44790441062227,182.6101223647203,37905.67390016812,0.8171901385355842,105.26874264637335,22.808227573380897,21.05374852927467,14.035832352849782,12.28135330874356,16.0,24.0,2.8247666088931482,7.998886116707153,11.997216308150062,2.639733555943718,8.0,175.44790441062227,269.20276847943717,269.20003380105754,269.2307692307692,china_graphite
64,11.163260348606576,177.67437395775025,194.0944879643939,40573.0159825664,0.808253329447979,106.60462437465014,23.097668614507533,21.32092487493003,14.21394991662002,12.437206177042519,16.0,24.0,2.9211780352937446,7.998886004017505,11.997206409748904,2.686145611433069,8.0,177.67437395775025,269.20266464959195,269.20003033605315,269.2307692307692,china_graphite
65,11.544270889478165,180.798262307995,206.84854503222525,43416.21262309522,0.798906292372149,108.478957384797,23.50377410003935,21.6957914769594,14.4638609846396,12.655878361559651,16.0,24.0,3.02509012324579,7.9988859028798664,11.997196882580214,2.7450585078276837,8.0,180.798262307995,269.20256471381106,269.2000272262523,269.2307692307692,china_graphite
66,11.954923467827113,184.7635534114787,221.02783730064908,46454.21118195938,0.7894991880624108,110.85813204688722,24.019261943492232,22.171626409377446,14.781084272918298,12.933448738803511,16.0,24.0,3.1346279810682374,7.998885812110021,11.997187712721185,2.815223143031562,8.0,184.7635534114787,269.2024685260502,269.2000244352425,269.2307692307692,china_graphite
67,12.38780865595236,189.48617308866284,236.795457958917,49708.467650904604,0.7802580335039099,113.6917038531977,24.63320250152617,22.73834077063954,15.158893847093028,13.2640321162064,16.0,24.0,3.248385371583585,7.998885730645148,11.997178886771175,2.8952339144197885,8.0,189.48617308866284,269.20237594574274,269.20002193034384,269.2307692307692,china_graphite
68,12.837369112700515,194.8715134705627,254.32653885614747,53203.07499371799,0.7713206085883593,116.92290808233761,25.33329675117315,23.38458161646752,15.589721077645015,13.64100594293939,16.0,24.0,3.3653075655936733,7.99888565753138,11.997170391832121,2.983684975265992,8.0,194.8715134705627,269.2022868375936,269.2000196822267,269.2307692307692,china_graphite
69,13.29943662941346,200.82495025828794,273.81222551002327,56964.95092768499,0.7627642107203753,120.49497015497276,26.10724353357743,24.098994030994554,16.065996020663036,14.057746518080156,16.0,24.0,3.484603477711734,7.998885591912629,11.997162215489691,3.0792581599119093,8.0,200.82495025828794,269.20220107138204,269.2000176645679,269.2307692307692,china_graphite
